"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"23459","강원특별자치도 홍천군 홍천읍 갈마곡리","200","0200","0000","주공1차","전세","49.8300","202503","31","9,500","0","5","2001","갈마로 14","202505~202705","신규","-","","","아파트"
"23460","강원특별자치도 강릉시 연곡면 영진리","11","0011","0000","영진부영1","월세","59.9870","202503","31","1,000","70","1","2005","영진3길 38","202504~202704","신규","-","","","아파트"
"23461","강원특별자치도 원주시 판부면 서곡리","446","0446","0000","원주더샵아파트","전세","148.6480","202503","31","30,300","0","5","2006","시청로 264","202503~202703","갱신","-","28,700","0","아파트"
"23462","강원특별자치도 원주시 판부면 서곡리","446","0446","0000","원주더샵아파트","전세","148.6480","202503","31","30,300","0","5","2006","시청로 264","202503~202703","갱신","-","28,700","0","아파트"
"23463","강원특별자치도 원주시 판부면 서곡리","592","0592","0000","거장2차아파트","전세","39.0600","202503","31","5,000","0","2","2002","남원로 223","202504~202704","신규","-","","","아파트"
"23464","강원특별자치도 홍천군 홍천읍 갈마곡리","200","0200","0000","주공1차","전세","49.8300","202503","31","9,500","0","5","2001","갈마로 14","202504~202704","신규","-","","","아파트"
"23465","강원특별자치도 홍천군 홍천읍 갈마곡리","200","0200","0000","주공1차","월세","49.8300","202503","31","1,000","40","10","2001","갈마로 14","202504~202704","신규","-","","","아파트"
"23466","강원특별자치도 양양군 현북면 중광정리","176-1","0176","0001","심미","전세","58.8370","202503","31","13,000","0","5","2001","동해대로 1611-7","-","-","-","","","아파트"
"23467","강원특별자치도 강릉시 주문진읍 주문리","329-19","0329","0019","강릉주문진풍림아이원하버뷰","전세","59.7600","202503","31","16,500","0","20","2019","항구로 40","202503~202703","신규","-","","","아파트"
"23468","강원특별자치도 평창군 진부면 송정리","2538","2538","0000","성원","전세","38.3650","202503","31","5,000","0","8","1998","송정택지1길 37","202504~202704","신규","-","","","아파트"
"23469","강원특별자치도 원주시 흥업면 흥업리","1838","1838","0000","스타클래스엔에이치에프","월세","74.8200","202503","31","2,429","41","8","2021","남원로 52-25","202312~202511","갱신","-","4,029","36","아파트"
"23470","강원특별자치도 원주시 명륜동","480","0480","0000","단구2단지","전세","46.6800","202503","31","7,200","0","4","1990","남원로527번길 23","202505~202705","갱신","-","6,800","0","아파트"
"23471","강원특별자치도 원주시 태장동","2796","2796","0000","원주태장LH천년나무6단지","월세","36.7200","202503","31","3,143","11","1","2020","치악로 1989","202505~202704","신규","-","","","아파트"
"23472","강원특별자치도 원주시 태장동","2864","2864","0000","원주동광뷰웰레이크포레","전세","84.9997","202503","31","23,100","0","16","2025","포란재로 49","202504~202704","신규","-","","","아파트"
"23473","강원특별자치도 원주시 태장동","580","0580","0000","금광포란재1단지","전세","84.9610","202503","31","15,000","0","17","2006","포란재로 36","202505~202705","신규","-","","","아파트"
"23474","강원특별자치도 원주시 개운동","328-1","0328","0001","개운동원흥3차아파트","전세","84.2610","202503","31","10,000","0","2","1993","치악로1735번길 56","202504~202704","신규","-","","","아파트"
"23475","강원특별자치도 춘천시 퇴계동","1015","1015","0000","퇴계주공6차","전세","59.8300","202503","31","14,280","0","15","2002","지석로 64","-","-","-","","","아파트"
"23476","강원특별자치도 춘천시 퇴계동","1235","1235","0000","춘천퇴계 세영리첼아파트","전세","72.7940","202503","31","25,200","0","5","2018","김유정로 1866","202506~202706","신규","-","","","아파트"
"23477","강원특별자치도 춘천시 퇴계동","1015","1015","0000","퇴계주공6차","전세","59.8300","202503","31","14,280","0","15","2002","지석로 64","-","-","-","","","아파트"
"23478","강원특별자치도 춘천시 온의동","572","0572","0000","한주","월세","71.4750","202503","31","1,000","63","12","1995","스포츠타운길 528-12","202504~202704","신규","-","","","아파트"
"23479","강원특별자치도 원주시 관설동","1819","1819","0000","힐스테이트원주레스티지","월세","84.9974","202503","31","13,000","80","3","2025","시청로 526-35","202503~202703","신규","-","","","아파트"
"23480","강원특별자치도 원주시 관설동","1819","1819","0000","힐스테이트원주레스티지","전세","84.9944","202503","31","27,500","0","17","2025","시청로 526-35","202504~202704","신규","-","","","아파트"
"23481","강원특별자치도 원주시 단구동","1517-1","1517","0001","대림","전세","59.9030","202503","31","14,500","0","13","1997","남원로 524","202506~202706","신규","-","","","아파트"
