"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"169181","경기도 양주시 옥정동","1043-1","1043","0001","양주옥정신도시제일풍경채레이크시티2단지","전세","84.8856","202508","31","22,050","0","12","2023","옥정동로 190","202509~202709","갱신","사용","21,000","0","아파트"
"169182","경기도 양주시 덕정동","543","0543","0000","덕정역서희스타힐스에듀포레뷰","전세","59.9959","202508","31","16,000","0","11","2025","화합로1325번길 22-114","202510~202710","신규","-","","","아파트"
"169183","경기도 양주시 덕정동","543","0543","0000","덕정역서희스타힐스에듀포레뷰","월세","59.9959","202508","31","2,000","70","9","2025","화합로1325번길 22-114","202510~202710","신규","-","","","아파트"
"169184","경기도 양주시 삼숭동","690","0690","0000","옥정역로제비앙메트로파크1단지","전세","84.9065","202508","31","22,000","0","16","2022","부흥로 2128","202509~202709","갱신","사용","21,000","0","아파트"
"169185","경기도 광주시 문형동","140-1","0140","0001","오포우림퓨전빌","전세","84.2170","202508","31","17,500","0","13","2002","봉골길 82","202509~202709","신규","-","","","아파트"
"169186","경기도 양주시 옥정동","938","0938","0000","양주옥정신도시한신더휴","월세","74.6729","202508","31","5,000","75","18","2023","옥정서로1길 65","202511~202710","갱신","사용","5,000","75","아파트"
"169187","경기도 양주시 덕정동","543","0543","0000","덕정역서희스타힐스에듀포레뷰","월세","75.9795","202508","31","2,500","90","16","2025","화합로1325번길 22-114","202509~202709","신규","-","","","아파트"
"169188","경기도 양주시 옥정동","958","0958","0000","e편한세상 옥정어반센트럴","전세","74.8607","202508","31","26,000","0","15","2017","옥정로5길 35","202511~202711","신규","-","","","아파트"
"169189","경기도 양주시 옥정동","945","0945","0000","양주옥정LH엘리프","월세","59.8500","202508","31","2,000","90","17","2023","옥정서로 210","202509~202709","신규","-","","","아파트"
"169190","경기도 안양시 동안구 호계동","1296","1296","0000","평촌어바인퍼스트","전세","59.8700","202508","31","49,000","0","23","2021","경수대로 583","202510~202710","신규","-","","","아파트"
