"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"9964","경상남도 거제시 아주동","993","0993","0000","거제아주KCC스위첸","월세","84.9084","202511","30","14,000","10","7","2017","용소1길 17-10","202602~202802","신규","-","","","아파트"
"9965","경상남도 양산시 삼호동","169","0169","0000","대동이미지타운1","전세","59.3538","202511","30","7,500","0","9","2004","대운로 354","202601~202801","신규","-","","","아파트"
"9966","경상남도 양산시 평산동","117-1","0117","0001","선우2","월세","57.1800","202511","30","500","35","3","1992","평산11길 5","202511~202711","신규","-","","","아파트"
"9967","경상남도 창원시 성산구 용호동","66","0066","0000","일동","전세","59.6100","202511","30","10,000","0","5","1986","외동반림로 216","202512~202712","신규","-","","","아파트"
"9968","경상남도 거제시 장평동","1243","1243","0000","포레나거제장평","월세","84.8252","202511","30","3,000","55","4","2021","장평1로 129","202512~202712","갱신","사용","3,000","55","아파트"
"9969","경상남도 거제시 장평동","32","0032","0000","대한2차","월세","84.9000","202511","30","500","60","10","1995","장평로6길 20","202512~202612","신규","-","","","아파트"
"9970","경상남도 창원시 마산회원구 내서읍 상곡리","192","0192","0000","중리근로복지","월세","41.8500","202511","30","500","30","1","1993","상곡로 67","202512~202712","신규","-","","","아파트"
"9971","경상남도 창원시 마산회원구 내서읍 호계리","10","0010","0000","코오롱하늘채1차아파트","전세","84.9590","202511","30","17,500","0","17","2001","호원로 361-3","202601~202801","신규","-","","","아파트"
"9972","경상남도 김해시 주촌면 선지리","1476","1476","0000","김해 센텀Q시티","월세","84.9514","202511","30","10,000","60","7","2018","선지로 85","202601~202801","신규","-","","","아파트"
"9973","경상남도 창녕군 남지읍 남지리","987-4","0987","0004","남지하이츠","월세","84.1800","202511","30","2,000","40","4","2005","동포7길 20","202512~202712","신규","-","","","아파트"
"9974","경상남도 김해시 진영읍 여래리","971","0971","0000","센텀큐브","월세","74.8200","202511","30","10,521","21","16","2017","김해대로 461","202601~202712","갱신","-","4,700","47","아파트"
"9975","경상남도 양산시 상북면 석계리","1176","1176","0000","두산위브더제니스양산","전세","59.6622","202511","30","17,000","0","15","2024","석계로 15","202512~202712","신규","-","","","아파트"
"9976","경상남도 김해시 진영읍 진영리","623-1","0623","0001","진영거성","월세","58.6500","202511","30","1,000","45","15","1997","진영로 10","202512~202712","신규","-","","","아파트"
"9977","경상남도 양산시 동면 내송리","903","0903","0000","사송더샵데시앙3단지","전세","84.9421","202511","30","27,000","0","19","2021","내송큰들로 107","202601~202802","신규","-","","","아파트"
"9978","경상남도 사천시 사남면 유천리","929","0929","0000","사천삼정그린코아포레스트","전세","84.9713","202511","30","23,500","0","2","2023","항공로 162","202601~202801","신규","-","","","아파트"
"9979","경상남도 사천시 용현면 신복리","7-1","0007","0001","동강아뜨리에","월세","84.9723","202511","30","3,000","30","2","2005","죽천강길 56","202512~202712","신규","-","","","아파트"
"9980","경상남도 창원시 성산구 상남동","45-1","0045","0001","성원","전세","84.9100","202511","30","25,000","0","13","1994","원이대로 774","202601~202801","신규","-","","","아파트"
"9981","경상남도 창원시 성산구 상남동","44-1","0044","0001","대동","월세","132.1800","202511","30","16,000","50","24","1995","동산로 115","202512~202711","갱신","-","26,000","0","아파트"
"9982","경상남도 창원시 마산회원구 양덕동","981","0981","0000","창원롯데캐슬센텀골드","전세","84.9774","202511","30","38,000","0","37","2023","양덕로 48","202602~202802","신규","-","","","아파트"
"9983","경상남도 창원시 마산회원구 양덕동","535","0535","0000","양덕코오롱하늘채","전세","84.9783","202511","30","38,000","0","22","2016","양덕서5길 15","202601~202801","신규","-","","","아파트"
"9984","경상남도 창원시 성산구 상남동","45-1","0045","0001","성원","전세","84.9100","202511","30","25,000","0","13","1994","원이대로 774","202601~202801","신규","-","","","아파트"
"9985","경상남도 진주시 신안동","705-1","0705","0001","신안주공3","월세","49.9600","202511","30","2,000","50","6","1997","석갑로 58","202512~202712","신규","-","","","아파트"
"9986","경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","월세","51.7400","202511","30","1,000","75","14","2005","내동로348번길 10","202602~202702","신규","-","","","아파트"
"9987","경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","월세","59.2700","202511","30","1,000","70","11","2005","내동로348번길 10","202512~202711","신규","-","","","아파트"
"9988","경상남도 진주시 평거동","190","0190","0000","들말대경","월세","84.9900","202511","30","4,000","80","6","1998","석갑로53번길 10","202601~202801","신규","-","","","아파트"
"9989","경상남도 창원시 마산합포구 교방동","536","0536","0000","창원푸르지오더플래티넘2단지","전세","103.1900","202511","30","37,200","0","6","2024","교방동18길 14","202601~202801","신규","-","","","아파트"
"9990","경상남도 창원시 마산합포구 교방동","367-1","0367","0001","상록","전세","59.9613","202511","30","13,160","0","3","2008","노산서18길 141","202512~202712","신규","-","","","아파트"
"9991","경상남도 창원시 마산합포구 산호동","651","0651","0000","창원칸타빌오션뷰","전세","74.8907","202511","30","28,000","0","8","2021","합포동6길 8","202512~202711","갱신","사용","27,000","0","아파트"
"9992","경상남도 진주시 초전동","1637-1","1637","0001","진주초전푸르지오2단지","월세","101.9770","202511","30","4,000","100","10","2010","초장로14번길 29","202512~202712","신규","-","","","아파트"
"9993","경상남도 창원시 진해구 자은동","121","0121","0000","자은프라임","전세","84.9100","202511","30","24,000","0","7","2015","냉천로 257","202603~202803","신규","-","","","아파트"
"9994","경상남도 창원시 진해구 용원동","1338","1338","0000","부산신항사랑으로부영6단지","전세","84.9933","202511","30","12,833","0","1","2019","신항5로 56","202602~202702","갱신","-","12,833","0","아파트"
"9995","경상남도 창원시 진해구 용원동","1337-5","1337","0005","사랑으로부영4단지아파트","전세","84.9933","202511","30","13,987","0","13","2018","신항동로 267","202512~202611","갱신","-","13,849","0","아파트"
"9996","경상남도 창원시 진해구 제덕동","865-1","0865","0001","남문동일스위트TheOcean1단지","전세","74.3166","202511","30","16,000","0","7","2025","명제로494번길 5","202512~202712","신규","-","","","아파트"
"9997","경상남도 창원시 마산합포구 중앙동3가","4-330","0004","0330","신우희가로베스트","전세","84.9618","202511","30","22,500","0","9","2006","중앙북1길 19","202603~202803","신규","-","","","아파트"
"9998","경상남도 진주시 주약동","360-2","0360","0002","한보은빛마을","전세","84.8600","202511","30","23,000","0","8","2002","천수로 30","202511~202602","신규","-","","","아파트"
"9999","경상남도 김해시 어방동","577","0577","0000","어방화인아파트","월세","59.8400","202511","30","500","50","6","1996","인제로 167-1","202512~202712","신규","-","","","아파트"
"10000","경상남도 김해시 어방동","499","0499","0000","대우유토피아","월세","84.5400","202511","30","1,000","55","10","1994","인제로 167","202512~202712","신규","-","","","아파트"
"10001","경상남도 김해시 무계동","566","0566","0000","e편한세상장유2차","월세","74.9140","202511","30","3,000","70","7","2018","무계로 47","202601~202801","신규","-","","","아파트"
"10002","경상남도 김해시 대청동","333-6","0333","0006","갑오마을5단지부영6차","전세","80.7474","202511","30","13,000","0","5","2002","계동로 86","202512~202712","갱신","사용","12,500","0","아파트"
"10003","경상남도 김해시 신문동","527-2","0527","0002","장유2차쌍용예가","전세","84.9927","202511","30","20,000","0","5","2008","장유로 362","202602~202802","신규","-","","","아파트"
"10004","경상남도 김해시 외동","1249-7","1249","0007","성원","월세","49.8900","202511","30","4,000","21","9","1996","우암로 8","202512~202612","갱신","-","4,000","19","아파트"
"10005","경상남도 김해시 외동","1249-4","1249","0004","한국2","월세","59.8200","202511","30","7,000","28","8","1998","분성로 155","202511~202711","신규","-","","","아파트"
"10006","경상남도 김해시 외동","916","0916","0000","한덕한신타워","월세","84.9800","202511","30","2,000","60","10","1992","분성로48번길 16","202512~202612","갱신","사용","13,000","0","아파트"
"10007","경상남도 김해시 신문동","1522","1522","0000","대청천경동리인뷰","월세","84.9062","202511","30","3,000","100","17","2023","장유로334번길 30","202601~202801","신규","-","","","아파트"
"10008","경상남도 김해시 신문동","527-2","0527","0002","장유2차쌍용예가","전세","84.9927","202511","30","20,000","0","5","2008","장유로 362","202601~202801","신규","-","","","아파트"
"10009","경상남도 김해시 신문동","527-2","0527","0002","장유2차쌍용예가","전세","84.9927","202511","30","20,000","0","5","2008","장유로 362","202601~202801","신규","-","","","아파트"
"10010","경상남도 김해시 외동","705-1","0705","0001","외동동성","월세","59.9700","202511","30","500","45","4","1989","평전로 33","202512~202712","신규","-","","","아파트"
"10011","경상남도 김해시 삼문동","1276","1276","0000","이안센트럴포레장유2단지","전세","59.9814","202511","29","15,750","0","13","2023","대청로261번길 9","202511~202711","갱신","사용","15,000","0","아파트"
"10012","경상남도 진주시 충무공동","300","0300","0000","혁신도시엘에이치아파트8단지","전세","59.9700","202511","29","28,300","0","11","2015","사들로 35","202601~202801","갱신","사용","27,000","0","아파트"
"10013","경상남도 진주시 충무공동","77","0077","0000","한림풀에버","전세","84.9644","202511","29","38,000","0","19","2015","소호로 39","202603~202803","신규","-","","","아파트"
"10014","경상남도 진주시 충무공동","300","0300","0000","혁신도시엘에이치아파트8단지","전세","59.9700","202511","29","28,300","0","11","2015","사들로 35","202601~202807","갱신","사용","27,000","0","아파트"
"10015","경상남도 진주시 충무공동","300","0300","0000","혁신도시엘에이치아파트8단지","전세","59.9700","202511","29","29,000","0","13","2015","사들로 35","202601~202801","신규","-","","","아파트"
"10016","경상남도 진주시 충무공동","300","0300","0000","혁신도시엘에이치아파트8단지","월세","59.9600","202511","29","15,000","56","25","2015","사들로 35","202602~202802","신규","-","","","아파트"
"10017","경상남도 김해시 관동동","1165","1165","0000","김해율하서희스타힐스","전세","84.9815","202511","29","25,000","0","14","2017","관동로27번길 95","202602~202802","신규","-","","","아파트"
"10018","경상남도 김해시 삼계동","1435","1435","0000","화정마을부영6차","전세","49.8420","202511","29","9,000","0","4","2003","김해대로 1864","202601~202801","신규","-","","","아파트"
"10019","경상남도 진주시 충무공동","230","0230","0000","진주혁신코오롱하늘채","전세","84.9500","202511","29","38,000","0","9","2014","사들로 126","202602~202802","신규","-","","","아파트"
"10020","경상남도 김해시 삼계동","1561","1561","0000","삼계삼정그린코아더베스트","월세","73.9083","202511","29","2,000","85","17","2023","생림대로 31","202512~202712","신규","-","","","아파트"
"10021","경상남도 김해시 율하동","1317","1317","0000","율상마을모아미래도6단지","월세","84.5337","202511","29","5,000","110","8","2014","율하1로 90","202602~202802","신규","-","","","아파트"
"10022","경상남도 김해시 부곡동","800-3","0800","0003","월산마을4-1단지부영18차","전세","80.8839","202511","29","11,000","0","5","2004","월산로 151","202602~202802","신규","-","","","아파트"
"10023","경상남도 밀양시 교동","1230","1230","0000","목화타워맨션","전세","59.9400","202511","29","6,300","0","17","1996","교동로 93","202512~202712","신규","-","","","아파트"
"10024","경상남도 김해시 구산동","257","0257","0000","광남백조","월세","60.0800","202511","29","1,000","50","5","1995","가락로 223","202512~202712","신규","-","","","아파트"
"10025","경상남도 김해시 삼계동","1545","1545","0000","삼계서희스타힐스","전세","74.4150","202511","29","21,000","0","22","2019","해반천로 280","202601~202801","신규","-","","","아파트"
"10026","경상남도 김해시 무계동","566","0566","0000","e편한세상장유2차","월세","74.9140","202511","29","2,000","80","11","2018","무계로 47","202601~202801","신규","-","","","아파트"
"10027","경상남도 김해시 전하동","439","0439","0000","반도보라","월세","84.8500","202511","29","3,000","55","12","1998","전하로176번길 71","202512~202712","신규","-","","","아파트"
"10028","경상남도 김해시 장유동","849","0849","0000","원메이저푸르지오","월세","84.9639","202511","29","5,000","120","21","2018","율하로 479","202602~202802","신규","-","","","아파트"
"10029","경상남도 김해시 장유동","849","0849","0000","원메이저푸르지오","월세","84.9930","202511","29","3,000","120","14","2018","율하로 479","202512~202712","신규","-","","","아파트"
"10030","경상남도 김해시 지내동","67","0067","0000","1차동원","전세","84.9300","202511","29","15,000","0","13","2000","분성로727번길 16","202602~202802","신규","-","","","아파트"
"10031","경상남도 김해시 삼문동","62-10","0062","0010","젤미마을9단지부영그린타운5차","전세","84.7520","202511","29","14,000","0","19","2004","대청로210번길 13","202602~202802","신규","-","","","아파트"
"10032","경상남도 김해시 부곡동","1167","1167","0000","석봉마을4단지부영아파트","전세","80.8839","202511","29","12,300","0","1","2004","능동로 117","202512~202712","갱신","사용","12,800","0","아파트"
"10033","경상남도 김해시 삼문동","62-10","0062","0010","젤미마을9단지부영그린타운5차","전세","84.7520","202511","29","14,000","0","19","2004","대청로210번길 13","202602~202802","신규","-","","","아파트"
"10034","경상남도 김해시 삼문동","1276","1276","0000","이안센트럴포레장유2단지","전세","59.9814","202511","29","19,000","0","8","2023","대청로261번길 9","202602~202802","신규","-","","","아파트"
"10035","경상남도 김해시 외동","1249-4","1249","0004","한국2","월세","27.6480","202511","29","500","41","10","1998","분성로 155","202511~202711","신규","-","","","아파트"
"10036","경상남도 김해시 신문동","530-2","0530","0002","장유쌍용예가","월세","84.9918","202511","29","2,000","70","15","2007","장유로 360","202601~202801","신규","-","","","아파트"
"10037","경상남도 김해시 지내동","67","0067","0000","1차동원","전세","84.9300","202511","29","15,000","0","13","2000","분성로727번길 16","-","-","-","","","아파트"
"10038","경상남도 김해시 삼문동","1276","1276","0000","이안센트럴포레장유2단지","전세","59.9814","202511","29","19,000","0","8","2023","대청로261번길 9","202602~202802","신규","-","","","아파트"
