"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"25741","광주광역시 광산구 하남동","547","0547","0000","부영사랑으로","전세","84.8198","202502","28","24,900","0","17","2009","하남대로 30","202503~202703","신규","-","","","아파트"
"25742","광주광역시 광산구 장덕동","1098","1098","0000","고실마을휴먼시아8단지","월세","39.2500","202502","28","2,075","12","7","2010","풍영로330번길 15","202503~202702","신규","-","","","아파트"
"25743","광주광역시 남구 진월동","392","0392","0000","금광하늘연가","전세","130.8746","202502","28","45,000","0","10","2005","서문대로663번안길 12","202110~202510","갱신","사용","48,000","0","아파트"
"25744","광주광역시 동구 계림동","1827","1827","0000","그랜드센트럴","월세","75.9867","202502","28","5,000","110","22","2020","경양로 234","202502~202702","신규","-","","","아파트"
"25745","광주광역시 동구 궁동","66-2","0066","0002","광주금남로한신더휴펜트하우스","전세","84.7967","202502","28","29,000","0","17","2024","중앙로 202","202506~202706","신규","-","","","아파트"
"25746","광주광역시 동구 궁동","66-2","0066","0002","광주금남로한신더휴펜트하우스","전세","84.7967","202502","28","29,000","0","17","2024","중앙로 202","202506~202706","신규","-","","","아파트"
"25747","광주광역시 동구 궁동","66-2","0066","0002","광주금남로한신더휴펜트하우스","전세","84.7967","202502","28","29,000","0","17","2024","중앙로 202","202506~202706","신규","-","","","아파트"
"25748","광주광역시 서구 화정동","930-1","0930","0001","라인동산","월세","59.8500","202502","28","1,000","50","13","1992","염화로45번길 17","202503~202703","신규","-","","","아파트"
"25749","광주광역시 서구 화정동","1612","1612","0000","유니버시아드힐스테이트3단지","전세","84.9800","202502","28","32,000","0","28","2016","화운로 24","202505~202705","신규","-","","","아파트"
"25750","광주광역시 서구 화정동","1712","1712","0000","더샵염주센트럴파크","전세","84.9596","202502","28","43,000","0","6","2022","월드컵4강로 27","202504~202704","신규","-","","","아파트"
"25751","광주광역시 서구 화정동","858-4","0858","0004","우성1","전세","51.5700","202502","28","8,000","0","1","1985","월드컵4강로 9","202503~202703","갱신","-","7,000","0","아파트"
"25752","광주광역시 서구 화정동","858-2","0858","0002","럭키","전세","52.5600","202502","28","9,000","0","4","1985","염화로40번길 20","202503~202703","신규","-","","","아파트"
"25753","광주광역시 서구 화정동","858-1","0858","0001","우성2","전세","59.0000","202502","28","11,000","0","7","1987","염화로40번길 6","202503~202703","신규","-","","","아파트"
"25754","광주광역시 동구 용산동","668","0668","0000","용산지구대성베르힐","월세","59.6060","202502","28","20,200","10","10","2019","용산2길 8","202504~202704","신규","-","","","아파트"
"25755","광주광역시 동구 용산동","668","0668","0000","용산지구대성베르힐","월세","59.6060","202502","28","20,200","10","10","2019","용산2길 8","202504~202704","신규","-","","","아파트"
"25756","광주광역시 북구 임동","104-8","0104","0008","한국아델리움2차","전세","84.9308","202502","28","25,000","0","11","2007","천변우로79번길 25","-","-","-","","","아파트"
"25757","광주광역시 북구 임동","104-8","0104","0008","한국아델리움2차","전세","84.9308","202502","28","25,000","0","11","2007","천변우로79번길 25","-","-","-","","","아파트"
