"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"23699","대구광역시 달성군 옥포읍 강림리","1099","1099","0000","LH허브시티","월세","59.9900","202506","30","1,000","55","4","2015","비슬로 1941","202507~202707","신규","-","","","아파트"
"23700","대구광역시 달서구 두류동","486-2","0486","0002","삼정그린빌","월세","59.9264","202506","30","1,000","67","22","2002","야외음악당로39길 54","202508~202708","신규","-","","","아파트"
"23701","대구광역시 달성군 구지면 창리","1354","1354","0000","대구국가산단영무예다음","월세","67.9413","202506","30","1,000","50","1","2020","국가산단서로84길 118","202507~202607","신규","-","","","아파트"
"23702","대구광역시 달성군 구지면 창리","1354","1354","0000","대구국가산단영무예다음","월세","84.9966","202506","30","1,000","65","15","2020","국가산단서로84길 118","202507~202706","신규","-","","","아파트"
"23703","대구광역시 달서구 상인동","1520","1520","0000","청구","전세","59.7600","202506","30","12,000","0","11","1993","상인로 105","202507~202707","신규","-","","","아파트"
"23704","대구광역시 달서구 상인동","1587","1587","0000","시영은행","월세","59.9600","202506","30","1,000","45","3","1993","월곡로 112","202507~202707","신규","-","","","아파트"
"23705","대구광역시 달성군 다사읍 세천리","1587","1587","0000","현대썬앤빌대구","전세","65.2584","202506","30","16,500","0","12","2017","세천로 182-10","202508~202708","신규","-","","","아파트"
"23706","대구광역시 달서구 용산동","414-4","0414","0004","성서6주공","월세","49.9500","202506","30","1,000","42","3","1998","성지로 35","202507~202707","신규","-","","","아파트"
"23707","대구광역시 달성군 다사읍 서재리","1118","1118","0000","에코폴리스 동화아이위시","월세","59.9943","202506","30","2,000","80","23","2015","서재로12길 38","202507~202605","신규","-","","","아파트"
"23708","대구광역시 달서구 신당동","1846","1846","0000","성서주공2","월세","49.4400","202506","30","500","45","10","1995","신당로 55","202507~202707","신규","-","","","아파트"
"23709","대구광역시 달서구 신당동","1846","1846","0000","성서주공2","월세","49.4400","202506","30","500","45","13","1995","신당로 55","202507~202707","신규","-","","","아파트"
"23710","대구광역시 달서구 대곡동","1126","1126","0000","수목원서한이다음","월세","101.8700","202506","30","2,000","120","7","2018","한실로6길 123","202508~202708","신규","-","","","아파트"
"23711","대구광역시 달서구 월성동","1894","1894","0000","월성삼정그린코아에듀파크","전세","84.6758","202506","30","31,000","0","4","2022","월성로 100","202507~202707","갱신","사용","30,000","0","아파트"
"23712","대구광역시 달서구 월성동","120","0120","0000","월성푸르지오","월세","101.8646","202506","30","2,800","120","21","2008","조암로6길 20","202506~202706","신규","-","","","아파트"
"23713","대구광역시 달서구 월성동","1835","1835","0000","월배e-편한세상","전세","59.9694","202506","30","23,500","0","28","2014","월성로 132","202509~202709","갱신","사용","22,800","0","아파트"
"23714","대구광역시 달서구 월성동","364","0364","0000","월성보성1","월세","84.9900","202506","30","1,000","70","12","1991","학산로 30","202508~202708","신규","-","","","아파트"
"23715","대구광역시 달서구 이곡동","1189-2","1189","0002","성서동서서한","월세","49.2600","202506","30","1,000","55","9","1994","선원로 100","202507~202707","신규","-","","","아파트"
"23716","대구광역시 달서구 이곡동","1189-2","1189","0002","성서동서서한","전세","56.3450","202506","30","10,500","0","9","1994","선원로 100","202507~202707","신규","-","","","아파트"
"23717","대구광역시 달서구 본동","1207","1207","0000","빌리브라디체","월세","84.9909","202506","30","2,000","120","46","2025","구마로 100","202507~202707","신규","-","","","아파트"
"23718","대구광역시 달서구 본동","276","0276","0000","그린맨션3차","전세","84.9900","202506","30","18,500","0","4","1988","구마로36길 33","202506~202706","신규","-","","","아파트"
"23719","대구광역시 달서구 상인동","1592","1592","0000","시영장미4","월세","49.8000","202506","30","500","45","11","1993","상화로 380","202507~202707","신규","-","","","아파트"
"23720","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림1단지","월세","84.9800","202506","30","2,000","100","20","2010","송현로7길 10","202506~202606","신규","-","","","아파트"
"23721","대구광역시 달서구 상인동","1474","1474","0000","한양은하","전세","66.1600","202506","30","8,500","0","3","1989","상화북로 137","202507~202707","신규","-","","","아파트"
"23722","대구광역시 달서구 도원동","1464","1464","0000","서한이다음레이크뷰","전세","84.9213","202506","30","31,000","0","6","2015","상화로58길 35","202506~202706","갱신","-","35,000","0","아파트"
"23723","대구광역시 달서구 도원동","1442","1442","0000","별메마을","전세","59.7600","202506","30","10,000","0","16","1996","도원로 46","202507~202706","갱신","-","12,000","0","아파트"
"23724","대구광역시 달성군 화원읍 천내리","138-1","0138","0001","태왕리더스","전세","84.9476","202506","30","20,000","0","5","2005","화원로3길 66","202508~202708","신규","-","","","아파트"
"23725","대구광역시 달성군 화원읍 천내리","138-1","0138","0001","태왕리더스","전세","84.9476","202506","30","20,000","0","5","2005","화원로3길 66","202508~202708","신규","-","","","아파트"
"23726","대구광역시 달성군 화원읍 천내리","138-1","0138","0001","태왕리더스","전세","84.9476","202506","30","20,000","0","5","2005","화원로3길 66","202508~202708","신규","-","","","아파트"
"23727","대구광역시 달성군 화원읍 천내리","119","0119","0000","화원에덴타운","월세","84.7800","202506","30","1,000","42","1","1992","비슬로525길 48","202507~202606","신규","-","","","아파트"
"23728","대구광역시 달성군 구지면 응암리","1210","1210","0000","과학마을청아람","전세","59.8940","202506","30","10,000","0","9","2016","과학마을로 70","202507~202707","신규","-","","","아파트"
"23729","대구광역시 달성군 구지면 응암리","1210","1210","0000","과학마을청아람","월세","39.9160","202506","30","500","55","8","2016","과학마을로 70","202507~202606","신규","-","","","아파트"
"23730","대구광역시 달서구 본리동","210-1","0210","0001","성당우방","전세","84.9700","202506","30","11,000","0","2","1985","구마로 171","202507~202707","신규","-","","","아파트"
"23731","대구광역시 달서구 본리동","306-1","0306","0001","아카시아","월세","84.9950","202506","30","1,000","50","4","1987","대명천로 153","202507~202509","신규","-","","","아파트"
"23732","대구광역시 달서구 진천동","478-1","0478","0001","제림하나로","전세","59.9700","202506","30","11,000","0","19","1995","상화로21길 55","202508~202708","신규","-","","","아파트"
"23733","대구광역시 달서구 진천동","478-1","0478","0001","제림하나로","전세","59.9700","202506","30","11,000","0","19","1995","상화로21길 55","202508~202708","신규","-","","","아파트"
"23734","대구광역시 달성군 다사읍 세천리","1587","1587","0000","현대썬앤빌대구","전세","65.2584","202506","30","16,500","0","12","2017","세천로 182-10","202508~202708","신규","-","","","아파트"
"23735","대구광역시 달성군 유가읍 봉리","604","0604","0000","남해오네뜨2차","월세","69.3379","202506","30","1,000","75","12","2016","테크노대로5길 57","202508~202708","신규","-","","","아파트"
"23736","대구광역시 달서구 진천동","602","0602","0000","진천역계룡리슈빌","전세","124.5892","202506","30","33,000","0","20","2011","진천로 77","202506~202706","신규","-","","","아파트"
"23737","대구광역시 달서구 호산동","350","0350","0000","삼성한국형","월세","59.9140","202506","30","500","60","11","1999","호산로 126","202507~202707","신규","-","","","아파트"
"23738","대구광역시 달성군 구지면 응암리","1252","1252","0000","대구국가산단ZOOM파크","전세","84.3504","202506","30","20,000","0","12","2020","국가산단대로64길 63","202508~202509","갱신","-","20,000","0","아파트"
"23739","대구광역시 달성군 논공읍 북리","803-4","0803","0004","논공성원아파트","월세","59.3400","202506","30","200","45","21","1996","논공로23길 14","202507~202607","신규","-","","","아파트"
