"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"48788","부산광역시 강서구 대저1동","2400-25","2400","0025","부산강서행복주택","월세","36.6300","202504","30","918","23","6","2020","공항로1309번길 83-22","202505~202704","갱신","-","3,456","17","아파트"
"48789","부산광역시 강서구 화전동","558","0558","0000","명지화전우방아이유쉘","전세","59.8736","202504","30","14,000","0","17","2020","화전산단4로 74","202506~202706","신규","-","","","아파트"
"48790","부산광역시 강서구 신호동","300-1","0300","0001","부산신호사랑으로부영3차","전세","84.3616","202504","30","15,230","0","15","2014","신호산단5로 31","202506~202605","신규","-","","","아파트"
"48791","부산광역시 강서구 명지동","3417","3417","0000","명지대방노블랜드오션뷰2차","월세","84.9975","202504","30","5,000","180","18","2016","명지국제5로 11","202505~202605","신규","-","","","아파트"
"48792","부산광역시 강서구 명지동","3235","3235","0000","엘크루솔마레","전세","84.9870","202504","30","27,000","0","6","2014","명지오션시티12로 10","202506~202706","신규","-","","","아파트"
"48793","부산광역시 강서구 명지동","3594","3594","0000","더샵명지퍼스트월드2단지","월세","99.9247","202504","30","3,000","140","18","2020","명지국제7로 37","202505~202705","신규","-","","","아파트"
"48794","부산광역시 강서구 명지동","3399","3399","0000","명지더웨스턴","월세","74.6200","202504","30","1,000","85","4","2018","명지국제7로 111","202504~202704","신규","-","","","아파트"
"48795","부산광역시 강서구 신호동","300-1","0300","0001","부산신호사랑으로부영3차","전세","84.3616","202504","30","15,230","0","6","2014","신호산단5로 31","202505~202605","신규","-","","","아파트"
"48796","부산광역시 강서구 신호동","300-1","0300","0001","부산신호사랑으로부영3차","전세","84.3616","202504","30","15,230","0","13","2014","신호산단5로 31","202505~202605","신규","-","","","아파트"
"48797","부산광역시 강서구 신호동","300-1","0300","0001","부산신호사랑으로부영3차","전세","84.3616","202504","30","15,230","0","19","2014","신호산단5로 31","202505~202605","신규","-","","","아파트"
"48798","부산광역시 금정구 구서동","248-31","0248","0031","삼성파크","월세","57.4200","202504","30","1,000","50","3","1984","중앙대로1873번길 48","202505~202705","신규","-","","","아파트"
"48799","부산광역시 금정구 구서동","420-12","0420","0012","유림노르웨이아침","전세","84.8500","202504","30","25,000","0","20","2004","중앙대로 1799","202504~202704","신규","-","","","아파트"
"48800","부산광역시 금정구 부곡동","773-1","0773","0001","장미(773-1)","월세","83.9400","202504","30","2,000","30","5","1979","서동로 41","202505~202705","신규","-","","","아파트"
"48801","부산광역시 금정구 부곡동","957","0957","0000","부곡늘푸른아파트","월세","58.4100","202504","30","1,000","45","8","1991","동현로 89","202505~202705","신규","-","","","아파트"
"48802","부산광역시 연제구 거제동","1468-1","1468","0001","거제동월드메르디앙","전세","84.9953","202504","30","35,700","0","17","2005","거제천로 233","202507~202707","갱신","사용","34,000","0","아파트"
"48803","부산광역시 연제구 거제동","1467-1","1467","0001","거제동롯데캐슬","전세","84.9370","202504","30","28,000","0","14","2001","세병로 44","202507~202707","신규","-","","","아파트"
"48804","부산광역시 연제구 거제동","1466-19","1466","0019","대호","전세","79.1100","202504","30","19,000","0","14","1996","거제천로255번길 53","202506~202706","신규","-","","","아파트"
"48805","부산광역시 강서구 강동동","BL-20","0020","0000","강서자이에코델타","월세","84.2187","202504","30","3,000","100","1","2025","에코델타1로 24","202506~202706","신규","-","","","아파트"
"48806","부산광역시 강서구 강동동","가-","0000","0000","에코델타호반써밋스마트시티","전세","84.9146","202504","30","28,300","0","1","2024","에코대로 243","202508~202608","신규","-","","","아파트"
"48807","부산광역시 금정구 부곡동","268-2","0268","0002","부곡동푸르지오","전세","84.8100","202504","30","32,000","0","14","2007","중앙대로 1617-12","202506~202706","신규","-","","","아파트"
"48808","부산광역시 금정구 서동","207-3","0207","0003","(207-3)","월세","45.0700","202504","30","2,000","50","7","2017","서동로 193-18","202505~202705","신규","-","","","아파트"
"48809","부산광역시 강서구 신호동","300-1","0300","0001","부산신호사랑으로부영3차","전세","59.9284","202504","30","12,602","0","4","2014","신호산단5로 31","202505~202605","신규","-","","","아파트"
"48810","부산광역시 강서구 신호동","298-1","0298","0001","부산신호사랑으로부영2차","전세","84.3616","202504","30","14,968","0","16","2014","신호산단4로 27","202505~202605","신규","-","","","아파트"
"48811","부산광역시 사하구 감천동","868","0868","0000","감천오펠리움아파트","월세","59.5376","202504","30","1,000","55","2","2018","감천로105번길 53","202505~202605","신규","-","","","아파트"
"48812","부산광역시 사하구 다대동","37","0037","0000","다대코오롱맨션","월세","43.3300","202504","30","1,000","30","3","1988","다송로 36","202504~202704","신규","-","","","아파트"
