"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"180605","서울특별시 성북구 상월곡동","101","0101","0000","동아에코빌","전세","114.6600","202505","31","55,000","0","8","2003","장월로1길 28","202508~202708","신규","-","","","아파트"
"180606","서울특별시 성북구 길음동","1283","1283","0000","길음뉴타운6단지(래미안)","전세","59.3730","202505","31","44,100","0","12","2007","길음로 16","-","-","-","","","아파트"
"180607","서울특별시 성북구 길음동","1283","1283","0000","길음뉴타운6단지(래미안)","전세","59.3730","202505","31","44,100","0","12","2007","길음로 16","202506~202706","갱신","사용","42,000","0","아파트"
"180608","서울특별시 성북구 길음동","1280","1280","0000","길음뉴타운2단지푸르지오","전세","59.7700","202505","31","38,000","0","1","2005","길음로 119","202508~202808","갱신","-","34,000","0","아파트"
"180609","서울특별시 성북구 길음동","1289","1289","0000","롯데캐슬클라시아","전세","84.7694","202505","31","80,000","0","5","2022","숭인로8길 80","202507~202707","신규","-","","","아파트"
"180610","서울특별시 성북구 길음동","1289","1289","0000","롯데캐슬클라시아","전세","59.7812","202505","31","59,900","0","9","2022","숭인로8길 80","202507~202707","신규","-","","","아파트"
"180611","서울특별시 성북구 길음동","1283","1283","0000","길음뉴타운6단지(래미안)","전세","84.0490","202505","31","57,750","0","8","2007","길음로 16","202507~202707","갱신","사용","55,000","0","아파트"
"180612","서울특별시 성북구 길음동","1280-1","1280","0001","길음뉴타운3단지푸르지오","전세","59.9900","202505","31","40,000","0","1","2005","길음로13길 39","202507~202707","신규","-","","","아파트"
"180613","서울특별시 강북구 수유동","205","0205","0000","수유벽산1차","전세","84.9200","202505","31","39,500","0","3","1993","삼각산로 143-1","202509~202709","신규","-","","","아파트"
"180614","서울특별시 성북구 장위동","320","0320","0000","래미안장위퍼스트하이","월세","59.9900","202505","31","30,000","90","10","2020","한천로 713","202506~202706","갱신","-","30,000","80","아파트"
"180615","서울특별시 성북구 장위동","316-5","0316","0005","참누리아파트","전세","84.9800","202505","31","43,000","0","6","2006","한천로101길 18","202507~202707","신규","-","","","아파트"
"180616","서울특별시 성북구 장위동","316-5","0316","0005","참누리아파트","전세","84.9800","202505","31","43,000","0","6","2006","한천로101길 18","-","-","-","","","아파트"
