"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"6095","세종특별자치시  아름동","1339","1339","0000","범지기마을1단지(한양수자인에듀센텀)","월세","84.9039","202510","31","3,000","100","3","2015","절재로 13","202601~202801","신규","-","","","아파트"
"6096","세종특별자치시  한솔동","940","0940","0000","첫마을2단지(퍼스트프라임)","월세","49.6200","202510","31","4,000","60","14","2011","노을3로 19","202511~202711","신규","-","","","아파트"
"6097","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","전세","101.9478","202510","31","30,000","0","14","2014","달빛로 211","202601~202801","신규","-","","","아파트"
"6098","세종특별자치시  장군면 금암리","259-1","0259","0001","영조정보마을임대아파트","월세","28.2616","202510","31","30","30","4","2002","대학길 118-1","202511~202611","갱신","사용","30","30","아파트"
"6099","세종특별자치시  도담동","632","0632","0000","중흥 그린카운티(13단지)","전세","59.1132","202510","31","22,000","0","10","2014","보람로 95","202512~202712","신규","-","","","아파트"
"6100","세종특별자치시  아름동","1357","1357","0000","범지기마을6단지(세종상록어울림)","월세","84.9830","202510","31","3,417","40","17","2014","달빛로 135","202603~202803","갱신","-","3,372","45","아파트"
"6101","세종특별자치시  조치원읍 신안리","35-3","0035","0003","유니빌","월세","25.8280","202510","31","300","38","14","2002","신안새동네길 26-10","202511~202612","신규","-","","","아파트"
"6102","세종특별자치시  조치원읍 신안리","542","0542","0000","세종e편한세상","전세","125.5420","202510","31","21,000","0","8","2013","섭골길 59","202512~202712","신규","-","","","아파트"
"6103","세종특별자치시  아름동","1277","1277","0000","대우푸르지오(10단지)","전세","84.9837","202510","31","24,500","0","15","2014","달빛로 211","202601~202801","신규","-","","","아파트"
"6104","세종특별자치시  도담동","653","0653","0000","도램마을11단지(반도유보라)","월세","84.9783","202510","31","3,000","100","30","2017","보듬4로 9","202512~202812","신규","-","","","아파트"
"6105","세종특별자치시  도담동","632","0632","0000","중흥 그린카운티(13단지)","월세","59.1132","202510","31","2,000","75","11","2014","보람로 95","202511~202711","신규","-","","","아파트"
"6106","세종특별자치시  전의면 동교리","121","0121","0000","재동(3동)","월세","49.6500","202510","31","500","50","5","1992","동신길 15","202511~202611","신규","-","","","아파트"
"6107","세종특별자치시  아름동","1353","1353","0000","범지기마을5단지(세종상록어울림)","월세","36.7080","202510","31","1,706","23","15","2014","달빛1로 122","202511~202711","신규","-","","","아파트"
"6108","세종특별자치시  반곡동","857","0857","0000","수루배마을4단지(세종더샵예미지)","전세","84.8600","202510","31","27,300","0","1","2019","시청대로 500","202511~202711","갱신","사용","26,000","0","아파트"
"6109","세종특별자치시  반곡동","851","0851","0000","수루배마을1단지","전세","96.7880","202510","31","32,000","0","16","2019","반곡로 14","202601~202801","신규","-","","","아파트"
"6110","세종특별자치시  아름동","1353","1353","0000","범지기마을5단지(세종상록어울림)","월세","46.3840","202510","31","7,630","7","11","2014","달빛1로 122","202512~202712","갱신","-","7,723","7","아파트"
"6111","세종특별자치시  한솔동","976","0976","0000","첫마을7단지(래미안)","월세","59.1000","202510","31","2,000","75","9","2012","나리로 57","202511~202711","신규","-","","","아파트"
"6112","세종특별자치시  보람동","774","0774","0000","호려울마을9단지(한양수자인와이즈시티)","전세","84.8974","202510","31","30,000","0","12","2016","남세종로 384","202601~202801","신규","-","","","아파트"
"6113","세종특별자치시  보람동","779","0779","0000","호려울마을6단지(모아엘가)","월세","84.8457","202510","31","3,000","120","4","2017","보람동로 13","202512~202712","갱신","-","20,664","0","아파트"
"6114","세종특별자치시  아름동","1357","1357","0000","범지기마을6단지(세종상록어울림)","월세","84.9830","202510","31","11,804","16","13","2014","달빛로 135","202512~202712","갱신","-","11,242","15","아파트"
