"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-06 ~ 2026-06-13"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전라남도 광양시 황금동","1370","1370","0000","광양한라비발디센트럴마크","전세","84.9863","202606","12","14,700","0","18","2024","황금4로 54","202607~202807","갱신","-","14,000","0","아파트"
"2","경기도 여주시 교동","412","0412","0000","여주역휴먼빌아트라움","월세","59.9920","202606","12","3,000","100","15","2023","교동로 120","202609~202809","신규","-","","","아파트"
"3","전북특별자치도 김제시 백산면 부거리","1595","1595","0000","G5스테이션아파트","전세","49.5194","202606","12","11,660","0","20","2023","지평선산단로 394-8","202607~202807","신규","-","","","아파트"
"4","전북특별자치도 김제시 백산면 부거리","1595","1595","0000","G5스테이션아파트","전세","49.5194","202606","12","11,730","0","10","2023","지평선산단로 394-8","202607~202807","신규","-","","","아파트"
"5","전북특별자치도 남원시 도통동","144","0144","0000","부영","월세","60.0000","202606","12","6,076","12","13","1995","용성로 207","202606~202706","갱신","-","5,987","12","아파트"
"6","경기도 화성시 효행구 봉담읍 내리","871","0871","0000","봉담자이프라이드시티","전세","59.6481","202606","12","31,000","0","6","2024","삼봉안길 30","202607~202807","신규","-","","","아파트"
"7","서울특별시 강서구 마곡동","744","0744","0000","마곡엠밸리9단지","전세","59.8600","202606","12","57,330","0","5","2021","공항대로 103","202609~202809","갱신","사용","54,600","0","아파트"
"8","서울특별시 강동구 고덕동","BL-3-1","0003","0001","고덕풍경채어바니티","월세","84.1500","202606","12","10,500","0","12","2024","아리수로 375","202606~202806","갱신","사용","10,000","200","아파트"
"9","서울특별시 강동구 강일동","114","0114","0000","강동리버스트4단지","전세","59.9900","202606","12","33,600","0","6","2020","아리수로93가길 110","202607~202806","갱신","-","32,000","0","아파트"
"10","전북특별자치도 남원시 도통동","144","0144","0000","부영","전세","60.0000","202606","12","8,002","0","12","1995","용성로 207","202606~202706","갱신","-","6,398","15","아파트"
"11","전북특별자치도 익산시 함열읍 와리","1559","1559","0000","북익산오투그란데더원","전세","84.9824","202606","12","19,500","0","25","2026","함낭로 487-33","202607~202807","신규","-","","","아파트"
"12","인천광역시 미추홀구 용현동","가-","0000","0000","용현자이크레스트","월세","84.9900","202606","12","5,000","140","14","2023","낙섬동로 134","202606~202806","신규","-","","","아파트"
"13","인천광역시 미추홀구 용현동","가-","0000","0000","용현자이크레스트","전세","84.9900","202606","12","28,350","0","13","2023","낙섬동로 134","202606~202801","갱신","사용","27,000","0","아파트"
"14","전북특별자치도 익산시 영등동","821","0821","0000","영등3차제일아파트","전세","84.9000","202606","12","18,400","0","6","1998","고봉로34길 35","202606~202806","갱신","-","19,300","0","아파트"
"15","전북특별자치도 익산시 신동","863","0863","0000","중흥S-클래스퍼스트파크","전세","84.9129","202606","12","29,900","0","23","2025","익산대로 399","202606~202806","신규","-","","","아파트"
"16","경상남도 창원시 의창구 사화동","670-2","0670","0002","사화롯데캐슬포레스트2단지","월세","102.9959","202606","12","20,000","140","19","2026","사화로 365","202608~202808","신규","-","","","아파트"
"17","서울특별시 강남구 대치동","316","0316","0000","은마","월세","76.7900","202606","12","40,000","112","2","1980","삼성로 212","202608~202808","갱신","-","25,000","160","아파트"
"18","전북특별자치도 익산시 모현동2가","673","0673","0000","익산배산사랑으로부영2차","전세","84.9933","202606","12","20,334","0","2","2015","선화로1길 57-33","202607~202707","갱신","-","20,334","0","아파트"
"19","전북특별자치도 익산시 모현동1가","812","0812","0000","익산배산사랑으로부영1차","전세","84.9933","202606","12","21,000","0","19","2012","선화로 41","202607~202807","신규","-","","","아파트"
"20","전북특별자치도 익산시 남중동","567","0567","0000","남중동오투그란데뉴퍼스트아파트","전세","84.8620","202606","12","20,000","0","9","2026","익산대로5길 11","202607~202807","신규","-","","","아파트"
"21","서울특별시 강동구 강일동","66","0066","0000","강동리버스트8단지","월세","49.7400","202606","12","5,000","155","10","2021","아리수로93나길 88","202608~202707","신규","-","","","아파트"
"22","경상남도 김해시 신문동","가-","0000","0000","더샵신문그리니티","전세","102.9081","202606","12","33,000","0","11","2026","신문중앙로 110","202607~202807","신규","-","","","아파트"
"23","전북특별자치도 전주시 덕진구 장동","1111","1111","0000","대방디엠시티","전세","118.5525","202606","12","50,000","0","43","2020","기지로 77","202609~202809","갱신","사용","48,000","0","아파트"
"24","전북특별자치도 전주시 덕진구 호성동1가","718","0718","0000","엘지동아","전세","59.9900","202606","12","14,500","0","1","1995","호성로 40","202606~202806","신규","-","","","아파트"
"25","전북특별자치도 전주시 완산구 효자동2가","1320-1","1320","0001","효자휴먼시아6단지","월세","33.7000","202606","12","1,683","11","8","2010","호암로 88","202607~202806","갱신","-","1,603","10","아파트"
"26","전북특별자치도 전주시 완산구 효자동1가","799","0799","0000","효자동한신휴플러스","월세","74.5224","202606","12","20,000","30","14","2006","따박골4길 10","202607~202807","신규","-","","","아파트"
"27","전북특별자치도 전주시 완산구 평화동1가","767","0767","0000","평화동플러스하임","월세","59.3918","202606","12","14,000","12","11","2020","덕적골3길 60","202606~202802","갱신","사용","14,000","10","아파트"
"28","전북특별자치도 전주시 완산구 서신동","962-1","0962","0001","서신2차광진산업장미","월세","59.5500","202606","12","3,000","60","9","2001","새터로 60","202606~202612","신규","-","","","아파트"
"29","전북특별자치도 전주시 완산구 태평동","305","0305","0000","태평아이파크","전세","84.7940","202606","12","49,500","0","17","2022","태진로 35","202608~202808","신규","-","","","아파트"
"30","강원특별자치도 속초시 조양동","1572","1572","0000","속초KCC스위첸","월세","59.9027","202606","12","2,000","95","20","2019","청대로 40","202607~202807","신규","-","","","아파트"
"31","강원특별자치도 속초시 교동","961","0961","0000","청초대우","전세","59.9460","202606","12","14,500","0","10","1998","동해대로 4271","202606~202806","신규","-","","","아파트"
"32","강원특별자치도 속초시 영랑동","160-1","0160","0001","송하","월세","41.1000","202606","12","300","33","1","1988","영랑로3길 22","202606~202806","신규","-","","","아파트"
"33","강원특별자치도 동해시 이도동","302-6","0302","0006","강변","월세","35.9250","202606","12","300","40","2","1996","전천로 175-24","202606~202806","신규","-","","","아파트"
"34","강원특별자치도 동해시 쇄운동","8","0008","0000","부영","전세","59.9330","202606","12","7,145","0","10","2000","청운1길 30","202606~202706","갱신","-","6,992","0","아파트"
"35","강원특별자치도 동해시 쇄운동","8","0008","0000","부영","전세","49.8960","202606","12","6,123","0","17","2000","청운1길 30","202607~202707","갱신","-","5,992","0","아파트"
"36","강원특별자치도 동해시 쇄운동","8","0008","0000","부영","전세","49.8960","202606","12","6,123","0","17","2000","청운1길 30","202606~202706","갱신","-","5,992","0","아파트"
"37","강원특별자치도 동해시 쇄운동","8","0008","0000","부영","월세","49.8960","202606","12","5,422","7","15","2000","청운1길 30","202607~202707","갱신","-","5,306","7","아파트"
"38","강원특별자치도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","월세","84.9877","202606","12","9,832","31","13","2013","평원로 110","202606~202706","갱신","-","9,726","31","아파트"
"39","강원특별자치도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","전세","73.9784","202606","12","12,546","0","12","2013","평원로 110","202606~202706","갱신","-","12,276","0","아파트"
"40","강원특별자치도 강릉시 연곡면 영진리","380","0380","0000","영진부영3","월세","84.9157","202606","12","3,000","90","11","2008","영진3길 15","202606~202806","신규","-","","","아파트"
"41","강원특별자치도 강릉시 내곡동","616","0616","0000","강부2","전세","41.1800","202606","12","6,000","0","3","1988","관대길 63","202607~202807","신규","-","","","아파트"
"42","강원특별자치도 원주시 반곡동","1964-3","1964","0003","원주혁신도시8단지사랑으로부영아파트","전세","84.9933","202606","12","17,711","0","14","2015","양지로 160","202606~202706","갱신","-","17,330","0","아파트"
"43","강원특별자치도 원주시 관설동","1713-1","1713","0001","청솔6차","전세","59.8500","202606","12","9,900","0","7","2002","단관초교길 9","202606~202806","신규","-","","","아파트"
"44","강원특별자치도 원주시 무실동","1921","1921","0000","더샵원주센트럴파크1단지","전세","84.9768","202606","12","34,000","0","26","2021","한지공원길 120","202608~202808","신규","-","","","아파트"
"45","강원특별자치도 원주시 무실동","1714","1714","0000","무실e-편한세상","전세","124.1326","202606","12","37,000","0","12","2009","만대로 89","202608~202708","갱신","사용","37,000","0","아파트"
"46","강원특별자치도 원주시 단계동","1168-1","1168","0001","메이플밸리부영","전세","59.8818","202606","12","12,479","0","1","2019","봉화서부로 26","202607~202707","갱신","-","12,223","0","아파트"
"47","강원특별자치도 원주시 단계동","507","0507","0000","현대3차","월세","75.9300","202606","12","2,000","60","9","1992","원문로 176","202606~202806","신규","-","","","아파트"
"48","강원특별자치도 원주시 단구동","1684-1","1684","0001","청솔4차","전세","58.6500","202606","12","9,600","0","14","2001","단구로 416","202606~202806","신규","-","","","아파트"
"49","강원특별자치도 춘천시 동면 장학리","993","0993","0000","춘천장학사랑으로부영","월세","84.9933","202606","12","20,245","11","1","2015","소양강로 104","202606~202706","신규","-","","","아파트"
"50","강원특별자치도 춘천시 동면 만천리","984","0984","0000","춘천KCC스위첸","전세","119.7200","202606","12","26,000","0","5","2009","만천로 69","202608~202808","신규","-","","","아파트"
