"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"5023","울산광역시 울주군 범서읍 천상리","299-1","0299","0001","천상동아","전세","59.6700","202509","30","14,175","0","4","1998","대동길 34","202510~202710","신규","-","","","아파트"
"5024","울산광역시 남구 옥동","1385-4","1385","0004","도성타운","전세","57.7950","202509","30","13,000","0","5","1991","문수로369번길 59","202510~202710","신규","-","","","아파트"
"5025","울산광역시 북구 달천동","107-7","0107","0007","그린카운티3","전세","83.9989","202509","30","17,000","0","13","2005","달천로 95","202509~202709","신규","-","","","아파트"
"5026","울산광역시 남구 두왕동","747-1","0747","0001","대공원호반베르디움3차","전세","59.9880","202509","30","23,000","0","13","2019","테크노산업로82번길 62","202509~202709","신규","-","","","아파트"
"5027","울산광역시 중구 약사동","625-16","0625","0016","대하","월세","64.5300","202509","30","10,000","10","1","1984","곽남길 23","202510~202710","신규","-","","","아파트"
"5028","울산광역시 남구 무거동","275-1","0275","0001","굴화주공1","월세","59.9900","202509","30","2,500","75","9","1997","굴화4길 20","202511~202711","신규","-","","","아파트"
"5029","울산광역시 남구 무거동","1538","1538","0000","무거한라2차","전세","59.9500","202509","30","14,000","0","8","1996","대학로147번길 73","202512~202712","신규","-","","","아파트"
"5030","울산광역시 남구 신정동","1591","1591","0000","금탑","전세","55.3100","202509","30","15,000","0","1","1982","거마로118번길 12","202509~202709","신규","-","","","아파트"
"5031","울산광역시 남구 신정동","1623-1","1623","0001","무궁화","월세","61.8300","202509","30","2,000","40","2","1984","거마로66번길 6","202511~202611","신규","-","","","아파트"
"5032","울산광역시 남구 신정동","1918","1918","0000","울산문수로두산위브더제니스","전세","84.7738","202509","30","58,000","0","14","2022","문수로 487","202512~202712","신규","-","","","아파트"
"5033","울산광역시 동구 방어동","929-7","0929","0007","동구미소지움","전세","59.1652","202509","30","10,500","0","3","2019","방어진순환도로 470","202510~202710","갱신","사용","10,000","0","아파트"
"5034","울산광역시 동구 방어동","929-7","0929","0007","동구미소지움","전세","59.1652","202509","30","10,500","0","3","2019","방어진순환도로 470","202510~202710","갱신","사용","10,000","0","아파트"
"5035","울산광역시 동구 전하동","782","0782","0000","스위첸웰츠타워2단지","전세","63.4350","202509","30","32,000","0","12","2023","방어진순환도로 865","202511~202711","신규","-","","","아파트"
"5036","울산광역시 동구 전하동","782","0782","0000","스위첸웰츠타워2단지","전세","63.4350","202509","30","31,500","0","12","2023","방어진순환도로 865","202511~202711","신규","-","","","아파트"
"5037","울산광역시 동구 전하동","782","0782","0000","스위첸웰츠타워2단지","전세","63.4350","202509","30","31,500","0","12","2023","방어진순환도로 865","202511~202711","신규","-","","","아파트"
"5038","울산광역시 동구 전하동","782","0782","0000","스위첸웰츠타워2단지","전세","63.4350","202509","30","31,500","0","12","2023","방어진순환도로 865","202511~202711","신규","-","","","아파트"
"5039","울산광역시 북구 산하동","1033-1","1033","0001","울산블루마시티2차푸르지오","전세","84.9491","202509","30","24,000","0","9","2015","강동산하2로 43","202511~202711","신규","-","","","아파트"
"5040","울산광역시 북구 산하동","969-1","0969","0001","울산블루마시티서희스타힐스블루원아파트","전세","64.9532","202509","30","21,000","0","16","2016","산하중앙3로 142","202510~202710","신규","-","","","아파트"
"5041","울산광역시 북구 화봉동","1492-2","1492","0002","울산송정한라비발디캠퍼스","전세","84.9675","202509","30","40,000","0","1","2019","박상진2로 121","202512~202712","신규","-","","","아파트"
"5042","울산광역시 북구 화봉동","1338","1338","0000","화봉1주공","월세","51.9300","202509","30","5,781","21","10","2009","화산로 33","202510~202709","갱신","-","3,140","26","아파트"
"5043","울산광역시 북구 화봉동","1491-3","1491","0003","지웰푸르지오","전세","84.9523","202509","30","43,000","0","14","2019","박상진4로 72","202509~202709","신규","-","","","아파트"
"5044","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","99.0000","202509","30","31,800","11","23","2019","박상진3로 55","202510~202710","갱신","-","31,000","11","아파트"
"5045","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","99.0000","202509","30","31,800","11","17","2019","박상진3로 55","202510~202710","갱신","-","31,000","11","아파트"
"5046","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","99.0000","202509","30","31,800","11","5","2019","박상진3로 55","202510~202710","갱신","-","31,000","11","아파트"
"5047","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","90.7642","202509","30","29,500","9","2","2019","박상진3로 55","202510~202710","갱신","-","28,700","9","아파트"
"5048","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","99.0000","202509","30","31,800","11","5","2019","박상진3로 55","202510~202710","갱신","사용","31,000","11","아파트"
"5049","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","90.7154","202509","30","29,500","9","18","2019","박상진3로 55","202510~202710","갱신","-","28,700","9","아파트"
"5050","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","99.0000","202509","30","31,800","11","13","2019","박상진3로 55","202510~202710","갱신","-","31,000","11","아파트"
"5051","울산광역시 북구 송정동","1236-8","1236","0008","울산송정금강펜테리움그린테라스2차","월세","99.0000","202509","30","31,800","11","24","2019","박상진3로 55","202510~202710","갱신","-","31,000","11","아파트"
"5052","울산광역시 남구 야음동","942","0942","0000","울산대현시티프라디움","전세","84.3595","202509","30","57,000","0","28","2022","수암로190번길 17","202510~202612","신규","-","","","아파트"
"5053","울산광역시 남구 야음동","910","0910","0000","울산번영로두산위브","전세","84.9120","202509","30","52,000","0","16","2017","번영로 29","202509~202709","신규","-","","","아파트"
"5054","울산광역시 남구 야음동","796-17","0796","0017","신선","월세","46.5300","202509","30","1,000","55","4","1995","야음로 4","202510~202710","신규","-","","","아파트"
"5055","울산광역시 중구 유곡동","271-2","0271","0002","에일린의뜰3차","전세","99.8419","202509","30","31,500","0","5","2014","종가로 245","202510~202710","갱신","사용","30,000","0","아파트"
"5056","울산광역시 북구 천곡동","500","0500","0000","천곡코아루2차","전세","84.8434","202509","30","22,500","0","7","2008","천곡남로 65","202601~202801","신규","-","","","아파트"
"5057","울산광역시 울주군 범서읍 천상리","324-2","0324","0002","경동태원하이빌","월세","59.9610","202509","30","500","30","1","2001","천상길 43","202509~202709","신규","-","","","아파트"
"5058","울산광역시 북구 호계동","264","0264","0000","호계1단지주공","월세","51.8600","202509","30","2,232","21","3","2004","동대12길 30","202512~202711","갱신","-","2,232","21","아파트"
"5059","울산광역시 북구 신천동","799","0799","0000","신천효성해링턴플레이스","전세","59.5699","202509","30","25,000","0","17","2018","신천로 26","202512~202712","신규","-","","","아파트"
"5060","울산광역시 울주군 범서읍 구영리","798-1","0798","0001","구영현대아이파크","월세","70.5300","202509","30","1,000","70","7","1991","점촌4길 43","202512~202612","신규","-","","","아파트"
"5061","울산광역시 울주군 범서읍 구영리","799-5","0799","0005","범서현대3차","전세","58.0500","202509","30","11,000","0","4","1993","점촌4길 65","202510~202710","신규","-","","","아파트"
"5062","울산광역시 동구 서부동","257-4","0257","0004","현대패밀리서부","전세","49.7900","202509","30","8,500","0","12","1992","방어진순환도로 995","202509~202709","신규","-","","","아파트"
"5063","울산광역시 동구 화정동","949","0949","0000","힐스테이트 이스턴베이","전세","84.9759","202509","30","33,000","0","10","2015","화진길 100","202509~202709","신규","-","","","아파트"
"5064","울산광역시 동구 화정동","949","0949","0000","힐스테이트 이스턴베이","전세","68.9187","202509","30","27,000","0","23","2015","화진길 100","202509~202709","신규","-","","","아파트"
"5065","울산광역시 북구 중산동","730","0730","0000","삼우","전세","59.7600","202509","30","4,500","0","1","1996","화정1길 28","202510~202710","신규","-","","","아파트"
"5066","울산광역시 북구 중산동","730","0730","0000","삼우","전세","59.7600","202509","30","4,500","0","1","1996","화정1길 28","202510~202710","신규","-","","","아파트"
"5067","울산광역시 동구 서부동","1055","1055","0000","울산지웰시티자이2단지","전세","84.9957","202509","30","45,000","0","25","2023","서부로 51","202601~202805","신규","-","","","아파트"
"5068","울산광역시 동구 서부동","238-29","0238","0029","현대패밀리명덕","월세","59.7800","202509","30","500","55","12","1992","명덕로 30","202511~202711","신규","-","","","아파트"
"5069","울산광역시 동구 서부동","1049","1049","0000","울산지웰시티자이1단지","전세","84.9957","202509","30","43,500","0","7","2023","서부로 50","202511~202711","신규","-","","","아파트"
