"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"18593","인천광역시 계양구 작전동","948","0948","0000","상록파라브","월세","84.7600","202510","31","3,000","90","3","2013","주부토로 442","202511~202711","신규","-","","","아파트"
"18594","인천광역시 계양구 작전동","420","0420","0000","미도아파트","월세","80.7600","202510","31","2,000","80","8","1990","아나지로299번길 17","202512~202712","신규","-","","","아파트"
"18595","인천광역시 계양구 용종동","214-1","0214","0001","용종마을신대진","전세","84.9620","202510","31","36,000","0","10","1997","용종로 97","202510~202710","신규","-","","","아파트"
"18596","인천광역시 서구 신현동","304-1","0304","0001","루원시티 대성베르힐","전세","84.9778","202510","31","34,000","0","14","2017","봉오재1로 15","202511~202711","신규","-","","","아파트"
"18597","인천광역시 계양구 효성동","200-1","0200","0001","현대4","전세","59.4000","202510","31","20,000","0","4","1995","새벌로112번길 12","202510~202708","갱신","-","19,000","0","아파트"
"18598","인천광역시 서구 가좌동","627","0627","0000","가재울역트루엘에코시티","월세","84.9800","202510","31","3,000","140","8","2024","열우물로240번길 20","202512~202712","신규","-","","","아파트"
"18599","인천광역시 계양구 작전동","912-3","0912","0003","도두리마을동보","전세","23.8500","202510","31","7,800","0","14","1996","도두리로 52","202511~202711","신규","-","","","아파트"
"18600","인천광역시 계양구 효성동","21-11","0021","0011","현대1","전세","84.9450","202510","31","23,000","0","7","1991","길마로 70","202510~202706","갱신","사용","23,000","0","아파트"
"18601","인천광역시 계양구 효성동","677","0677","0000","e편한세상 계양 더프리미어","전세","59.8883","202510","31","29,400","0","24","2021","효서로 145","202512~202712","갱신","-","28,000","0","아파트"
"18602","인천광역시 서구 신현동","302-1","0302","0001","루원e-편한세상하늘채아파트","전세","84.8570","202510","31","33,000","0","25","2010","가정로 387","202602~202802","신규","-","","","아파트"
"18603","인천광역시 계양구 작전동","30-1","0030","0001","선우","전세","48.9600","202510","31","12,000","0","2","1986","주부토로472번길 51","202510~202710","신규","-","","","아파트"
"18604","인천광역시 서구 가좌동","30-2","0030","0002","진주1","월세","47.4400","202510","31","1,000","50","13","1983","원적로 82","202512~202712","신규","-","","","아파트"
"18605","인천광역시 계양구 병방동","380","0380","0000","신명진달래2","월세","47.7900","202510","31","1,000","45","5","1989","병방시장로61번길 12","202511~202711","신규","-","","","아파트"
"18606","인천광역시 계양구 귤현동","489","0489","0000","귤현현대아이파크","전세","84.9871","202510","31","27,500","0","13","2004","장군봉길 12","202601~202801","갱신","사용","27,500","0","아파트"
"18607","인천광역시 계양구 효성동","24","0024","0000","뉴서울2","월세","31.9500","202510","31","500","30","1","1986","안남로 560","202511~202711","신규","-","","","아파트"
"18608","인천광역시 계양구 병방동","433-1","0433","0001","학마을한진","전세","59.7300","202510","31","21,000","0","10","1998","용종로 124","202510~202710","갱신","사용","20,000","0","아파트"
"18609","인천광역시 서구 연희동","701-1","0701","0001","연희해드림","월세","39.5400","202510","31","1,893","15","1","2007","간촌로 40","202511~202710","갱신","-","1,867","15","아파트"
