"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"16324","전라남도 나주시 빛가람동","551","0551","0000","사랑으로부영2단지","전세","84.9933","202507","31","13,741","0","5","2015","그린로 125","202508~202608","갱신","-","13,565","0","아파트"
"16325","전라남도 순천시 오천동","982","0982","0000","진아리채파크원","월세","84.9806","202507","31","17,634","5","4","2017","오천1길 20","202506~202706","신규","-","","","아파트"
"16326","전라남도 순천시 연향동","1631","1631","0000","율산에코지오아파트","월세","84.9763","202507","31","1,000","60","8","2004","도장길 40","202508~202708","신규","-","","","아파트"
"16327","전라남도 순천시 오천동","1086","1086","0000","해광샹그릴라","월세","49.9938","202507","31","1,000","52","3","2015","지현길 17","202508~202707","신규","-","","","아파트"
"16328","전라남도 광양시 광영동","733-3","0733","0003","광양광영사랑으로부영1차","전세","73.9049","202507","31","10,941","0","7","2013","나룻1길 39","-","-","-","","","아파트"
"16329","전라남도 광양시 광영동","846","0846","0000","브라운스톤가야","전세","84.9099","202507","31","14,000","0","8","2010","가야로 345","202507~202707","갱신","-","15,000","0","아파트"
"16330","전라남도 광양시 광영동","733-3","0733","0003","광양광영사랑으로부영1차","전세","73.9049","202507","31","10,941","0","6","2013","나룻1길 39","202508~202608","갱신","-","10,941","0","아파트"
"16331","전라남도 광양시 광영동","732","0732","0000","광양광영사랑으로부영2차","전세","84.3616","202507","31","12,865","0","8","2013","금영로 16","202508~202608","갱신","-","12,865","0","아파트"
"16332","전라남도 광양시 광영동","732","0732","0000","광양광영사랑으로부영2차","전세","73.9049","202507","31","10,941","0","14","2013","금영로 16","202508~202608","갱신","-","10,941","0","아파트"
"16333","전라남도 광양시 마동","1298","1298","0000","덕진광양의봄프리미엄아파트(2단지)","전세","59.9902","202507","31","9,850","0","11","2016","중마로 369","202509~202709","신규","-","","","아파트"
"16334","전라남도 순천시 해룡면 상삼리","657","0657","0000","부영3","전세","60.0000","202507","31","8,082","0","8","1995","기적의도서관길 90","202508~202608","갱신","사용","8,082","0","아파트"
"16335","전라남도 광양시 성황동","1856","1856","0000","광양푸르지오더퍼스트","월세","84.9781","202507","31","2,000","100","9","2021","성황수동로 22","202508~202608","신규","-","","","아파트"
"16336","전라남도 나주시 빛가람동","600","0600","0000","대광로제비앙","전세","84.9811","202507","31","19,000","0","11","2016","그린로 153","202510~202710","신규","-","","","아파트"
"16337","전라남도 순천시 풍덕동","255-5","0255","0005","주공","월세","59.1200","202507","31","8,500","15","5","1989","풍덕주택길 99","202508~202708","신규","-","","","아파트"
"16338","전라남도 순천시 연향동","1386","1386","0000","부영2","전세","60.0000","202507","31","7,786","0","6","1993","연향1로 62","202508~202608","갱신","사용","7,786","0","아파트"
"16339","전라남도 여수시 소라면 죽림리","1111","1111","0000","여수죽림사랑으로부영2차","전세","59.9284","202507","31","12,542","0","11","2014","덕양로 114","-","-","-","","","아파트"
"16340","전라남도 여수시 소라면 죽림리","1130","1130","0000","여수죽림사랑으로부영1차","전세","59.9284","202507","31","12,821","0","9","2014","죽림로 10","202508~202608","신규","-","","","아파트"
"16341","전라남도 여수시 소라면 죽림리","1102","1102","0000","죽림휴먼시아","월세","46.8300","202507","31","2,620","16","12","2010","덕양로 97-9","202509~202708","신규","-","","","아파트"
"16342","전라남도 나주시 이창동","714-1","0714","0001","나주이창LH1단지","월세","21.7700","202507","31","551","10","12","2022","이창택지길 37-7","202411~202610","갱신","-","1,251","9","아파트"
"16343","전라남도 순천시 풍덕동","255-5","0255","0005","주공","전세","59.1200","202507","31","8,500","0","5","1989","풍덕주택길 99","202508~202708","신규","-","","","아파트"
"16344","전라남도 순천시 왕지동","843","0843","0000","순천왕지동롯데캐슬","월세","129.1960","202507","31","3,000","155","11","2009","왕지3길 36","202510~202709","신규","-","","","아파트"
"16345","전라남도 순천시 해룡면 상삼리","657","0657","0000","부영3","전세","60.0000","202507","31","8,082","0","10","1995","기적의도서관길 90","202508~202608","갱신","사용","8,082","0","아파트"
"16346","전라남도 순천시 조례동","1803","1803","0000","왕지아파트","전세","59.7600","202507","31","10,000","0","3","1999","왕궁길 55","202509~202708","신규","-","","","아파트"
"16347","전라남도 순천시 조례동","1803","1803","0000","왕지아파트","전세","59.7600","202507","31","8,955","0","12","1999","왕궁길 55","202509~202709","신규","-","","","아파트"
"16348","전라남도 순천시 조례동","1612","1612","0000","부영5","월세","49.7200","202507","31","5,702","10","6","1995","장선배기길 77","202508~202608","갱신","-","5,702","10","아파트"
