"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"11203","전북특별자치도 전주시 완산구 평화동1가","467","0467","0000","한성","월세","59.9280","202508","31","2,000","55","17","1996","덕적골1길 33","202509~202709","신규","-","","","아파트"
"11204","전북특별자치도 전주시 덕진구 호성동1가","900","0900","0000","호성주공2차","월세","59.9600","202508","31","11,000","5","5","1997","소리로 188","202509~202709","신규","-","","","아파트"
"11205","전북특별자치도 군산시 미룡동","900-1","0900","0001","주공3차","월세","59.4200","202508","31","1,000","43","7","2002","미룡로 42","202508~202708","신규","-","","","아파트"
"11206","전북특별자치도 전주시 덕진구 송천동1가","123-8","0123","0008","동북","월세","60.3600","202508","31","300","40","1","1990","솔내2길 71","202509~202609","신규","-","","","아파트"
"11207","전북특별자치도 군산시 구암동","647","0647","0000","더샵군산프리미엘","전세","109.8699","202508","31","30,000","0","28","2025","구암로 53","202510~202710","신규","-","","","아파트"
"11208","전북특별자치도 전주시 덕진구 송천동2가","1308","1308","0000","에코시티자이","월세","59.9925","202508","31","10,000","100","1","2017","세병로 111","202512~202612","신규","-","","","아파트"
"11209","전북특별자치도 전주시 완산구 평화동1가","467","0467","0000","한성","월세","59.9280","202508","31","3,000","45","17","1996","덕적골1길 33","202509~202709","신규","-","","","아파트"
"11210","전북특별자치도 전주시 덕진구 호성동1가","900","0900","0000","호성주공1차","월세","49.6500","202508","31","2,000","45","7","1997","소리로 179","202509~202709","신규","-","","","아파트"
"11211","전북특별자치도 군산시 나운동","831","0831","0000","나운금호어울림센트럴","전세","59.9654","202508","31","16,800","0","4","2022","하나운2길 15","202510~202710","갱신","사용","16,000","0","아파트"
"11212","전북특별자치도 전주시 완산구 평화동2가","336-6","0336","0006","현대","월세","59.9700","202508","31","5,000","30","6","1996","소대배기로 33","202509~202709","신규","-","","","아파트"
"11213","전북특별자치도 전주시 덕진구 만성동","1367-1","1367","0001","골드클래스","전세","84.9525","202508","31","44,000","0","17","2018","만성로 181","202510~202710","신규","-","","","아파트"
"11214","전북특별자치도 전주시 덕진구 송천동2가","1268","1268","0000","송천주공","전세","59.9900","202508","31","15,000","0","12","1998","붓내3길 29","202509~202709","신규","-","","","아파트"
"11215","전북특별자치도 군산시 미룡동","900-1","0900","0001","주공3차","월세","59.4200","202508","31","1,000","43","7","2002","미룡로 42","202508~202708","신규","-","","","아파트"
"11216","전북특별자치도 전주시 덕진구 인후동1가","1033","1033","0000","두산위브","전세","59.6200","202508","31","21,000","0","4","2007","견훤로 333","202509~202709","갱신","사용","20,000","0","아파트"
"11217","전북특별자치도 익산시 모현동1가","94-4","0094","0004","모현이화","월세","57.6900","202508","31","500","40","2","1992","선화로23길 40","202509~202709","신규","-","","","아파트"
"11218","전북특별자치도 남원시 노암동","872-2","0872","0002","남원노암2LH아파트","월세","36.9600","202508","31","2,648","15","7","2023","시묘길 71","202509~202708","갱신","-","2,640","15","아파트"
"11219","전북특별자치도 익산시 황등면 황등리","1038","1038","0000","대영","월세","49.9800","202508","31","300","25","7","1996","황등3길 6","202509~202709","신규","-","","","아파트"
"11220","전북특별자치도 정읍시 시기동","13","0013","0000","시기주공","월세","46.6800","202508","31","300","35","4","1988","천변로 350","202509~202709","신규","-","","","아파트"
"11221","전북특별자치도 정읍시 상동","970","0970","0000","정읍상동대광로제비앙","전세","84.9513","202508","31","24,000","0","4","2014","학산로 89-11","202511~202711","신규","-","","","아파트"
"11222","전북특별자치도 익산시 어양동","736","0736","0000","e편한세상어양","전세","84.9900","202508","31","24,000","0","6","2015","동서로63길 25","202510~202710","신규","-","","","아파트"
"11223","전북특별자치도 익산시 영등동","771-2","0771","0002","비사벌","월세","59.9200","202508","31","1,000","60","12","1995","고봉로30길 51","202509~202709","신규","-","","","아파트"
"11224","전북특별자치도 익산시 황등면 황등리","1038","1038","0000","대영","월세","49.9800","202508","31","300","30","7","1996","황등3길 6","202509~202709","신규","-","","","아파트"
"11225","전북특별자치도 익산시 춘포면 쌍정리","160-1","0160","0001","더반포레","월세","29.7000","202508","30","300","35","1","2003","궁성로 124","202509~202709","신규","-","","","아파트"
"11226","전북특별자치도 전주시 완산구 효자동2가","1157-4","1157","0004","전주효자SKLeadersVIEW","전세","84.9100","202508","30","34,000","0","28","2016","홍산1길 7","-","-","-","","","아파트"
"11227","전북특별자치도 전주시 완산구 효자동2가","1157-4","1157","0004","전주효자SKLeadersVIEW","전세","84.9100","202508","30","34,000","0","28","2016","홍산1길 7","202510~202710","신규","-","","","아파트"
"11228","전북특별자치도 전주시 완산구 효자동2가","1363","1363","0000","전주효천우미린더퍼스트","월세","84.9914","202508","30","10,000","130","16","2019","효천중앙로 11","202509~202709","갱신","-","5,000","100","아파트"
"11229","전북특별자치도 익산시 목천동","1376-1","1376","0001","한스빌","월세","26.5195","202508","30","300","25","15","2001","목천로 30-14","202509~202709","신규","-","","","아파트"
"11230","전북특별자치도 정읍시 공평동","111-3","0111","0003","목련(111-3)","월세","59.4900","202508","30","500","45","3","1991","충정로 531-3","202509~202709","신규","-","","","아파트"
"11231","전북특별자치도 익산시 영등동","800","0800","0000","우남샘물타운","월세","39.1500","202508","30","1,500","50","3","1997","고봉로34길 5-2","202509~202708","신규","-","","","아파트"
"11232","전북특별자치도 익산시 부송동","231-26","0231","0026","동아(2)","월세","32.9280","202508","30","500","30","4","1997","무왕로26길 33","202508~202708","신규","-","","","아파트"
"11233","전북특별자치도 전주시 완산구 효자동3가","1483-1","1483","0001","청솔","월세","54.7800","202508","30","1,000","55","4","2001","서곡로 34","202509~202709","신규","-","","","아파트"
"11234","전북특별자치도 전주시 완산구 효자동3가","1483-2","1483","0002","서곡두산","월세","84.9000","202508","30","10,000","40","2","1999","서곡로 22","202510~202710","신규","-","","","아파트"
"11235","전북특별자치도 익산시 어양동","695","0695","0000","주공6단지","전세","49.8500","202508","30","8,100","0","13","2000","무왕로19길 11","202509~202709","갱신","사용","8,500","0","아파트"
"11236","전북특별자치도 익산시 마동","433","0433","0000","익산풍경채어바니티","전세","84.9368","202508","30","25,000","0","27","2024","서동로 194-12","202601~202801","신규","-","","","아파트"
"11237","전북특별자치도 익산시 마동","433","0433","0000","익산풍경채어바니티","전세","84.9368","202508","30","25,000","0","27","2024","서동로 194-12","202601~202801","신규","-","","","아파트"
"11238","전북특별자치도 익산시 모현동1가","235-15","0235","0015","대림B","월세","48.9100","202508","30","500","35","1","1984","고현로8길 7-6","202509~202709","신규","-","","","아파트"
