"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"3002","제주특별자치도 제주시 연동","278-2","0278","0002","제주연동한일베라체더퍼스트","전세","83.6381","202507","31","38,000","0","10","2023","사장3길 32","202510~202710","신규","-","","","아파트"
"3003","제주특별자치도 제주시 도련이동","548","0548","0000","제주삼화사랑으로부영1차","전세","73.9049","202507","31","26,000","0","5","2013","화삼북로 136","202509~202709","신규","-","","","아파트"
"3004","제주특별자치도 서귀포시 서호동","1540","1540","0000","제주서귀포혁신도시엘에이치1단지","전세","59.9800","202507","31","25,500","0","7","2013","서호남로 92-15","202508~202709","신규","-","","","아파트"
"3005","제주특별자치도 제주시 노형동","1058-1","1058","0001","노형수선화","전세","59.9000","202507","31","10,000","0","5","1994","수덕로 25","202508~202708","갱신","-","10,000","0","아파트"
"3006","제주특별자치도 서귀포시 동홍동","1557-1","1557","0001","센트럴팰리스","월세","38.2600","202507","31","500","78","8","2018","중앙로 172","202508~202608","신규","-","","","아파트"
"3007","제주특별자치도 제주시 연동","276-3","0276","0003","청목더웰연동","월세","30.1314","202507","31","500","65","4","2018","연동8길 28","202508~202608","신규","-","","","아파트"
"3008","제주특별자치도 제주시 연동","265","0265","0000","e편한세상연동센트럴메종","월세","75.4043","202507","31","2,000","167","5","2025","연동4길 25","202508~202708","신규","-","","","아파트"
"3009","제주특별자치도 제주시 연동","278-2","0278","0002","제주연동한일베라체더퍼스트","전세","83.6381","202507","31","38,000","0","10","2023","사장3길 32","202511~202711","신규","-","","","아파트"
"3010","제주특별자치도 서귀포시 중문동","1726","1726","0000","e편한세상중문","월세","79.0040","202507","31","2,000","175","7","2021","일주서로731번길 10","202510~202706","신규","-","","","아파트"
"3011","제주특별자치도 서귀포시 성산읍 고성리","1196-4","1196","0004","해미래빌","월세","31.0300","202507","31","200","40","3","2011","고성동서로 64","202507~202607","신규","-","","","아파트"
"3012","제주특별자치도 제주시 노형동","732","0732","0000","부영1차","월세","80.6583","202507","30","30,000","20","11","2001","원노형로 93","202507~202711","갱신","-","33,600","0","아파트"
"3013","제주특별자치도 제주시 도련이동","548","0548","0000","제주삼화사랑으로부영1차","전세","84.3616","202507","30","33,000","0","5","2013","화삼북로 136","202508~202710","신규","-","","","아파트"
"3014","제주특별자치도 제주시 삼양이동","2132-3","2132","0003","동명","월세","69.2700","202507","30","800","67","2","1991","일주동로 361","202508~202608","신규","-","","","아파트"
"3015","제주특별자치도 제주시 도련이동","548","0548","0000","제주삼화사랑으로부영1차","전세","84.3616","202507","30","33,000","0","5","2013","화삼북로 136","202508~202710","신규","-","","","아파트"
"3016","제주특별자치도 제주시 도련일동","1910","1910","0000","제주삼화사랑으로부영8차","전세","84.9933","202507","30","24,638","0","3","2016","화삼로 89","202508~202607","갱신","-","24,492","0","아파트"
"3017","제주특별자치도 제주시 도련일동","1911","1911","0000","제주삼화사랑으로부영6차","전세","84.3616","202507","30","18,009","0","7","2013","화삼로 107","202508~202608","갱신","-","18,009","0","아파트"
"3018","제주특별자치도 제주시 연동","294-41","0294","0041","신세계원룸","월세","22.9600","202507","30","200","44","8","2012","노연로 140","202508~202608","신규","-","","","아파트"
"3019","제주특별자치도 제주시 연동","306","0306","0000","제주연동중흥S-클래스","월세","49.0940","202507","30","1,000","115","4","2020","신대로 160","202508~202607","신규","-","","","아파트"
"3020","제주특별자치도 제주시 노형동","945","0945","0000","유나이티드","월세","42.7500","202507","30","200","38","5","1984","원노형10길 28","202509~202709","신규","-","","","아파트"
"3021","제주특별자치도 제주시 삼양이동","2318","2318","0000","제주삼화사랑으로부영3차","전세","84.3616","202507","30","17,882","0","8","2013","화삼로 167","202508~202608","갱신","-","17,741","0","아파트"
"3022","제주특별자치도 제주시 외도일동","560-1","0560","0001","외도부영1차","전세","49.8960","202507","30","15,000","0","1","2000","우정로11길 22","202509~202709","신규","-","","","아파트"
"3023","제주특별자치도 서귀포시 서귀동","150","0150","0000","효림스카이","월세","35.2500","202507","30","200","45","5","2007","태평로 446","202507~202607","신규","-","","","아파트"
"3024","제주특별자치도 서귀포시 서귀동","150","0150","0000","효림스카이","월세","25.2180","202507","30","200","40","6","2007","태평로 446","202507~202607","신규","-","","","아파트"
"3025","제주특별자치도 제주시 이도일동","1326-9","1326","0009","다솜","월세","30.7794","202507","30","300","65","4","2012","중앙로23길 26","202508~202607","신규","-","","","아파트"
