"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"262910","경기도 평택시 포승읍 도곡리","1113","1113","0000","모아미래도1차","월세","59.9717","202505","31","2,000","70","4","2006","여술로 74","202506~202606","신규","-","","","아파트"
"262911","경기도 용인시 기흥구 언남동","503","0503","0000","스파팰리스리가","전세","84.9700","202505","31","33,600","0","7","2013","언남로 5","202506~202706","신규","-","","","아파트"
"262912","경기도 용인시 기흥구 언남동","503","0503","0000","스파팰리스리가","전세","84.9700","202505","31","33,600","0","7","2013","언남로 5","202506~202706","갱신","사용","32,000","0","아파트"
"262913","경기도 용인시 기흥구 언남동","500","0500","0000","초원마을성원상떼빌2차","월세","105.6821","202505","31","4,000","135","5","2005","기흥로116번길 100","202509~202709","신규","-","","","아파트"
"262914","경기도 용인시 기흥구 마북동","629","0629","0000","삼거마을삼성래미안1","전세","84.9900","202505","31","48,000","0","14","2002","용구대로2394번길 27","202508~202708","갱신","-","40,000","0","아파트"
"262915","경기도 용인시 기흥구 마북동","625","0625","0000","교동마을현대필그린","전세","84.8240","202505","31","32,000","0","10","2002","마북로 139","202508~202708","신규","-","","","아파트"
"262916","경기도 용인시 기흥구 마북동","636","0636","0000","교동마을마북이편한세상","전세","84.5696","202505","31","36,000","0","4","2009","마북로 210","202506~202706","갱신","사용","36,000","0","아파트"
"262917","경기도 용인시 기흥구 마북동","651","0651","0000","구성역효성해링턴플레이스","전세","84.9700","202505","31","42,000","0","14","2016","구성로53번길 20","202507~202707","신규","-","","","아파트"
"262918","경기도 용인시 기흥구 마북동","524-8","0524","0008","블루밍구성더센트럴","전세","84.8190","202505","31","31,500","0","14","2000","연원로42번길 2","202505~202705","갱신","사용","30,000","0","아파트"
"262919","경기도 용인시 기흥구 마북동","524-8","0524","0008","블루밍구성더센트럴","전세","84.8190","202505","31","36,700","0","12","2000","연원로42번길 2","202506~202701","갱신","사용","35,000","0","아파트"
"262920","경기도 용인시 기흥구 마북동","524-8","0524","0008","블루밍구성더센트럴","전세","84.8190","202505","31","38,000","0","6","2000","연원로42번길 2","202507~202707","갱신","-","27,000","0","아파트"
"262921","경기도 용인시 기흥구 마북동","617","0617","0000","교동마을엘지","전세","84.8010","202505","31","29,400","0","13","2001","마북로 182","202506~202706","갱신","사용","28,000","0","아파트"
"262922","경기도 용인시 기흥구 마북동","629","0629","0000","삼거마을삼성래미안1","전세","118.4840","202505","31","38,850","0","7","2002","용구대로2394번길 27","202507~202602","갱신","-","37,000","0","아파트"
